"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"The One I Love","Charlie McDowell","Mark Duplass Ted Danson Elisabeth Moss","Romantic comedy","RADiUS-TWC"
"If I Stay","R. J. Cutler","Chloë Grace Moretz Mireille Enos Jamie Blackley Joshua Leonard","Romance","Warner Bros. Based on the novel of the same name by Gayle Forman"
"Leprechaun: Origins","Zach Lipovsky","Dylan Postl Stephanie Bennett Bruce Blain Adam Boys","Horror","Lions Gate Entertainment Sequel to Leprechaun: Back 2 tha Hood (2003)"
"Love Is Strange","Ira Sachs","John Lithgow Alfred Molina Marisa Tomei Charlie Tahan","Drama","Sony Pictures"
"The Prince","Brian A. Miller","Bruce Willis John Cusack 50 Cent Jason Patric","Thriller","Lions Gate Entertainment"
"Sin City: A Dame to Kill For","Robert Rodriguez","Mickey Rourke Jessica Alba Josh Brolin Bruce Willis","Thriller","Dimension Films Based on the novel A Dame to Kill For by Frank Miller Sequel to Sin City (2005)"
"As Above, So Below","John Erick Dowdle","Perdita Weeks Ben Feldman Edwin Hodge François Civil","Horror","Universal Pictures"
"Atlas Shrugged: Part III","James Manera","Laura Regan Kristoffer Polaha Joaquim de Almeida Eric Allan Kramer Rob Morrow","Science fiction","Atlas Distribution Based on the novel Atlas Shrugged by Ayn Rand Sequel to Atlas Shrugged: Part II (2012)"
"Dolphin Tale 2","Charles Martin Smith","Harry Connick, Jr. Ashley Judd Nathan Gamble Kris Kristofferson Morgan Freeman","Drama","Warner Bros. Sequel to Dolphin Tale (2011)"
"Honeymoon","Leigh Janiak","Rose Leslie Harry Tread Ben Huber Hanna Brown","Horror","Magnolia Pictures"
"No Good Deed","Sam Miller","Idris Elba Taraji P. Henson Henry Simmons Wilbur Fitzgerald","Thriller","Screen Gems"
"The Guest","Adam Wingard","Dan Stevens Maika Monroe Brendan Meyer Chase Williamson","Thriller","Picturehouse"
"A Walk Among the Tombstones","Scott Frank","Liam Neeson Dan Stevens Boyd Holbrook","Thriller","Universal Pictures Based on the novel of the same name by Lawrence Block"
"The Maze Runner","Wes Ball","Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster","Science fiction","20th Century Fox Based on the novel of the same name by James Dashner"
"The Scribbler","John Suits","Katie Cassidy Garret Dillahunt Michelle Trachtenberg","Thriller","New Artists Alliance Based on the novel of the same name by Daniel Schaffer"
"The Skeleton Twins","Craig Johnson","Kristen Wiig Bill Hader Luke Wilson Ty Burrell","Comedy-drama","Roadside Attractions"
"This Is Where I Leave You","Shawn Levy","Jason Bateman Tina Fey Adam Driver Rose Byrne","Comedy-drama","Warner Bros. Based on the novel of the same name by Jonathan Tropper"
"Tusk","Kevin Smith","Michael Parks Justin Long Haley Joel Osment Johnny Depp","Horror, Comedy","A24 Films"
"The Boxtrolls","Graham Annable","Elle Fanning Toni Collette Isaac Hempstead-Wright Simon Pegg Nick Frost","Fantasy","Focus Features Based on the novel Here Be Monsters! by Alan Snow"
"The Equalizer","Antoine Fuqua","Denzel Washington Marton Csokas Chloë Grace Moretz Bill Pullman","Action","Columbia Pictures Based on the TV series of the same name"
"The Song","Richard Ramsey","Alan Powell Ali Faulkner Danny Vinson","Romantic drama","Samuel Goldwyn Films"
"The Two Faces of January","Hossein Amini","Viggo Mortensen Kirsten Dunst Oscar Isaac","Thriller","Magnolia Pictures Based on the novel of the same name by Patricia Highsmith"
"Annabelle","John R. Leonetti","Annabelle Wallis Tony Amendola Ward Horton Alfre Woodard","Horror","Warner Bros. Prequel to The Conjuring"
"Gone Girl","David Fincher","Ben Affleck Rosamund Pike Neil Patrick Harris Tyler Perry","Thriller","20th Century Fox Based on the novel of the same name by Gillian Flynn"
"The Good Lie","Philippe Falardeau","Emmanuel Jal Ger Duany Reese Witherspoon Corey Stoll","Drama","Warner Bros."
"Left Behind","Vic Armstrong","Nicolas Cage Cassi Thomson Chad Michael Murray","Thriller","Freestyle Releasing Based on the novel of the same name by Tim LaHaye"
"Addicted","Bille Woodruff","Sharon Leal Boris Kodjoe William Levy Tasha Smith","Thriller","Lions Gate Entertainment Based on the novel of the same name by Zane"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Miguel Arteta","Steve Carell Jennifer Garner Ed Oxenbould Dylan Minnette","Comedy","Walt Disney Studios Based on the 1972 novel of the same name"
"Dracula Untold","Gary Shore","Luke Evans Sarah Gadon Dominic Cooper Zach McGowan","Fantasy","Universal Pictures"
"The Judge","David Dobkin","Robert Downey, Jr. Robert Duvall Vera Farmiga Billy Bob Thornton","Drama","Warner Bros."
"Whiplash","Damien Chazelle","Miles Teller Melissa Benoist Austin Stowell","Drama","Sony Pictures"
"You're Not You","George C. Wolfe","Hilary Swank Emmy Rossum Josh Duhamel Frances Fisher","Drama","Entertainment One Based on the novel of the same name by Michelle Wildgen"
"The Book of Life","Jorge Gutierrez","Channing Tatum Zoe Saldana Diego Luna Ice Cube","Animation Adventure","20th Century Fox"
"Camp X-Ray","Peter Sattler","Kristen Stewart Peyman Moaadi Julia Duffy Lane Garrison","Drama","IFC Films"
"The Czar of Black Hollywood","Bayer Mack","Oscar Micheaux","Biopic Documentary","Block Starz Music Television"
"Dear White People","Justin Simien","Tyler James Williams Dennis Haysbert Tessa Thompson Kyle Gallner","Drama","Lions Gate Entertainment"
"Fury","David Ayer","Brad Pitt Shia LaBeouf Logan Lerman Michael Peña","War","Columbia Pictures"
"Listen Up Philip","Alex Ross Perry","Jason Schwartzman Elisabeth Moss Jonathan Pryce","Drama","Tribeca Films"
"Nightcrawler","Dan Gilroy","Jake Gyllenhaal Rene Russo Riz Ahmed Bill Paxton","Thriller","Open Road Films"
