"Title","Director","Cast (Subject of documentary)","Genre","Note"
"Let It Be Me","Eleanor Bergstein","Campbell Scott, Jennifer Beals","",""
"Life 101","Redge Mahaffey","Corey Haim, Ami Dolenz","Comedy",""
"A Little Princess","Alfonso Cuarón","Liesel Matthews, Eleanor Bron","Family","remake of 1939 film"
"Live Nude Girls","Julianna Lavin","Kim Cattrall, Dana Delany, Cynthia Stevenson","Drama",""
"Living in Oblivion","Tom DiCillo","Catherine Keener, Steve Buscemi","Drama",""
"The Living Sea","Greg MacGillivray","narrated by Meryl Streep","Documentary",""
"Liz: The Elizabeth Taylor Story","Kevin Connor","Sherilyn Fenn, Angus Macfadyen","Biography","TV miniseries"
"Lord of Illusions","Clive Barker","Scott Bakula, Famke Janssen","Horror","based on a Barker story"
"Losing Isaiah","Stephen Gyllenhaal","Jessica Lange, Halle Berry","Drama","based on Seth Margolis novel"
"Mad Love","Antonia Bird","Chris O'Donnell, Drew Barrymore","Drama",""
"The Maddening","Danny Huston","Angie Dickinson, Burt Reynolds, Mia Sara","Horror","based on Andrew Neiderman novel"
"Magic in the Water","Rick Stevenson","Mark Harmon","Family",""
"Magic Island (film)","Sam Irvin","Zachery Ty Bryan, Andrew Divoff, Edward Kerr, Lee Armstrong, French Stewart, Jessie-Ann Friend, Oscar Dillon, Abraham Benrubi, Sean O'Kane, Schae Harrison, Ja'net Dubois","Fantasy",""
"Major Payne","Nick Castle","Damon Wayans, Karyn Parsons","Comedy",""
"Mallrats","Kevin Smith","Shannen Doherty, Jeremy London, Jason Lee, Claire Forlani, Jason Mewes, Kevin Smith, Ben Affleck, Joey Lauren Adams, Michael Rooker","Comedy",""
"Man of the House","James Orr","Chevy Chase, Farrah Fawcett, Jonathan Taylor Thomas","Comedy","Walt Disney"
"Man of the Year","Dirk Shafer","","Drama",""
"The Mangler","Tobe Hooper","Robert Englund, Ted Levine","Horror",""
"Margaret's Museum","Mort Ransen","Helena Bonham Carter, Kate Nelligan","Drama",""
"Message to Love","Murray Lerner","","Documentary",""
"Miami Rhapsody","David Frankel","Sarah Jessica Parker, Antonio Banderas, Mia Farrow, Gil Bellows, Kevin Pollak","Comedy","Hollywood Pictures"
"A Midwinter's Tale","Kenneth Branagh","Michael Maloney","Drama",""
"Mighty Aphrodite","Woody Allen","Woody Allen, Mira Sorvino, Helena Bonham Carter, Michael Rapaport, F. Murray Abraham","Comedy","Oscar for Sorvino"
"Mighty Morphin Power Rangers: The Movie","Bryan Spicer","Karan Ashley, Johnny Yong Bosch, Steve Cardenas, Jason David Frank, Amy Jo Johnson, David Yost, Jason Narvy, Paul Schrier","Science fiction, Family",""
"Money Train","Joseph Ruben","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper","Action",""
"Monster Mash","","Bobby Pickett","Animated","based on the song"
"Moonlight and Valentino","David Anspaugh","Elizabeth Perkins, Whoopi Goldberg, Gwyneth Paltrow, Kathleen Turner, Jon Bon Jovi","Comedy, Drama",""
"Mortal Kombat","Paul W. S. Anderson","Robin Shou, Linden Ashby, Bridgette Wilson, Christopher Lambert, Cary-Hiroyuki Tagawa, Talisa Soto, Trevor Goddard","Fantasy","Based on the video game"
"Mortal Kombat: The Journey Begins","","","Animated",""
"Mr. Holland's Opus","Stephen Herek","Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, Terrence Howard, Alicia Witt","Drama",""
"Multi-Facial","Vin Diesel","Vin Diesel","","Short film"
"Murder in the First","Marc Rocco","Kevin Bacon, Christian Slater, Gary Oldman, Embeth Davidtz","Crime drama","Le Studio Canal+"
"My Antonia","Joseph Sargent","Jason Robards, Eva Marie Saint, Neil Patrick Harris","Drama","based on a novel by Willa Cather"
"My Family","Gregory Nava","Jimmy Smits, Esai Morales, Edward James Olmos","Drama",""
"National Lampoon's Senior Trip","Kelly Makin","Matt Frewer, Tara Strong","Comedy",""
"The Nature of the Beast","Victor Salva","Eric Roberts, Lance Henriksen","Horror",""
"The Net","Irwin Winkler","Sandra Bullock, Jeremy Northam, Dennis Miller","Suspense","later became TV series"
"Never Talk to Strangers","Peter Hall","Antonio Banderas, Rebecca De Mornay, Dennis Miller, Harry Dean Stanton, Len Cariou","Thriller",""
"New Jersey Drive","Nick Gomez","Sharron Corley, Gabriel Casseus","Drama",""
"Nick of Time","John Badham","Johnny Depp, Christopher Walken, Charles S. Dutton, Roma Maffia, Peter Strauss, Marsha Mason","Suspense","story told in real time"
"Night Watch","David Jackson","Pierce Brosnan, William Devane, Alexandra Paul","Action","TV"
"The Night and the Moment","Anna Maria Tato","Willem Dafoe, Lena Olin, Miranda Richardson","Drama",""
"Nine Months","Chris Columbus","Hugh Grant, Julianne Moore, Jeff Goldblum, Robin Williams, Tom Arnold, Joan Cusack","Romantic comedy","remake of Neuf mois"
"Nixon","Oliver Stone","Anthony Hopkins, Joan Allen, James Woods, J. T. Walsh, David Hyde Pierce, Ed Harris, Paul Sorvino, Mary Steenburgen, Bob Hoskins, Madeline Kahn","Biography","story of Richard M. Nixon; nominated for 4 Oscars"
"No Exit","Damian Lee","Jeff Wincott","Action",""
"The Nona Tapes","","Alice in Chains","Mockumentary","Music"
"Now and Then","Lesli Linka Glatter","Demi Moore, Melanie Griffith, Rosie O'Donnell, Rita Wilson, Christina Ricci, Thora Birch, Gaby Hoffmann, Ashleigh Blair Sterling","Comedy","New Line Cinema"
"Operation Dumbo Drop","Simon Wincer","Ray Liotta, Danny Glover, Denis Leary","Family","Walt Disney"
"Othello","Oliver Parker","Laurence Fishburne, Kenneth Branagh","Drama","based on the play by William Shakespeare"
"The Other Woman","Gabrielle Beaumont","Jill Eikenberry, Lloyd Bridges","Drama","TV"
"Outbreak","Wolfgang Petersen","Dustin Hoffman, Rene Russo, Morgan Freeman, Donald Sutherland, Cuba Gooding, Jr., Kevin Spacey, Patrick Dempsey","Drama","Warner Bros."
"Palookaville","Alan Taylor","William Forsythe, Frances McDormand","Comedy",""
"Panther","Mario Van Peebles","Kadeem Hardison, Courtney B. Vance","Drama",""
"Parallel Sons","John G. Young","Gabriel Mann","Drama",""
"Party Girl","Daisy von Scherler Mayer","Parker Posey, Liev Schreiber","",""
"The Passion of Darkly Noon","Philip Ridley","Brendan Fraser, Viggo Mortensen, Ashley Judd","Drama",""
"Payback","Anthony Hickox","C. Thomas Howell, Joan Severance, Marshall Bell, R.G. Armstrong","Action",""
"The Pebble and the Penguin","Don Bluth, Gary Goldman","voices of Martin Short, Tim Curry","Animated film",""
"The Perez Family","Mira Nair","Marisa Tomei, Anjelica Huston, Alfred Molina","Drama",""
"A Personal Journey with Martin Scorsese Through American Movies","Martin Scorsese","Martin Scorsese","Documentary",""
"Persuasion","Roger Michell","Amanda Root, Ciarán Hinds","Drama","BBC"
"Picture Bride","Kayo Hatta","","",""
"Piranha","Scott P. Levy","William Katt, Alexandra Paul","Science fiction",""
"Pocahontas","Mike Gabriel, Eric Goldberg","Voices of Irene Bedard, Mel Gibson, Christian Bale, Russell Means","Animated","Walt Disney"
"Powder","Victor Salva","Sean Patrick Flannery, Mary Steenburgen, Jeff Goldblum","Drama",""
"The Power Within","","Karen Valentine","Drama",""
"Problem Child 3: Junior in Love","Greg Beeman","William Katt, Gilbert Gottfried, Jack Warden","Comedy","sequel"
"The Prophecy","Gregory Widen","Christopher Walken, Elias Koteas, Virginia Madsen, Eric Stoltz","Fantasy",""
"The Quick and the Dead","Sam Raimi","Sharon Stone, Russell Crowe, Gene Hackman, Leonardo DiCaprio","Western","TriStar Pictures"
"Rack, Shack, and Benny","Phil Vischer","Phil Vischer, Mike Nawrocki","Animation",""
"Reckless","Norman René","Mia Farrow, Scott Glenn, Mary-Louise Parker","Black comedy",""
"Requiem","Elizabeth Sung","","Short subject",""
"Restoration","Michael Hoffman","Robert Downey, Jr., Meg Ryan, Sam Neill, Hugh Grant","Drama",""
"Rob Roy","Michael Caton-Jones","Liam Neeson, Jessica Lange, Tim Roth, John Hurt, Eric Stoltz","Adventure",""
"Roommates","Peter Yates","Peter Falk, D. B. Sweeney, Julianne Moore","Comedy",""
"Runaway Brain","","Mickey Mouse","Animated",""
"Sabrina","Sydney Pollack","Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, Lauren Holly, John Wood, Richard Crenna, Angie Dickinson","Romantic comedy","remake of 1954 film"
"Safe","Todd Haynes","Julianne Moore","Drama",""
"Sailor Moon SuperS movie","","","Fantasy","Animated"
"The Scarlet Letter","Roland Joffé","Demi Moore, Gary Oldman, Robert Duvall, Joan Plowright, Robert Prosky","Drama","based on the play by Nathaniel Hawthorne; 7 Razzie nominations"
"Screamers","Christian Duguay","Peter Weller, Jennifer Rubin","Science fiction",""
“Sense and Sensibility”,”Ang Lee”,””,””,””
"Seven","David Fincher","Brad Pitt, Morgan Freeman, Kevin Spacey, Gwyneth Paltrow","Thriller",""
"The Set-Up","Strathford Hamilton","Billy Zane, Mia Sara, James Coburn","Drama",""
"Shock Treatment","Michael Schultz","Matthew Schultz","Horror","TV"
"Showgirls","Paul Verhoeven","Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer, Robert Davi, Alan Rachins, Gina Ravera","Drama","won 7 Razzie awards"
"Skin","","","Short subject","11 min."
