Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev,AudienceRev,Income,Genre1,Genre2,Genre3,Label
Michael Spence,David O'Malley,Mark W. Rosenbaum,Corey Feldman,Meredith Salenger,Scott Reeves,0,N,N/A,62, ,Adventure,Drama,Thriller,no
Robert Harmon,Robert Stitzel, ,John Travolta,Ellie Raab,Tito Larriva,1,N,N/A,56, ,Drama, , ,no
Charles Shyer,Frances Goodrich,Albert Hackett,Steve Martin,Diane Keaton,Kimberly Williams-Paisley,5,N,73,70, ,Comedy,Family,Romance,no
Eric Steven Stahl,Eric Steven Stahl,Gerald Laurence,James Sikking,Hector Elizondo,Madolyn Smith Osborne,0,N,N/A,50, ,Sci-Fi,Thriller, ,no
Terry Gilliam,Richard LaGravenese, ,Jeff Bridges,Adam Bryant,Paul Lombardi,40,N,82,86, ,Comedy,Drama,Fantasy,yesComedy
Garry Marshall,Terrence McNally,Terrence McNally,Al Pacino,Michelle Pfeiffer,Hector Elizondo,6,N,78,68, ,Comedy,Drama,Romance,no
Jon Avnet,Fannie Flagg,Fannie Flagg,Kathy Bates,Mary Stuart Masterson,Mary-Louise Parker,16,N,73,91, ,Drama, , ,yesComedy
Lawrence Kasdan,Lawrence Kasdan,Meg Kasdan,Danny Glover,Kevin Kline,Steve Martin,7,N,81,70, ,Crime,Drama, ,no
Irwin Winkler,Irwin Winkler, ,Robert De Niro,Annette Bening,George Wendt,4,N,65,55, ,Drama, , ,no
Joseph B. Vasquez,Joseph B. Vasquez, ,Doug E. Doug,Mario Joyner,John Leguizamo,10,N,83,67, ,Comedy,Drama, ,no
Martin Davidson,Jule Selbo, ,Sissy Spacek,William Petersen,Brian Kerwin,0,N,N/A,58, ,Comedy,Drama,Family,no
John Badham,Lem Dobbs,Michael Kozoll,Michael J. Fox,James Woods,Stephen Lang,1,N,74,52, ,Action,Comedy,Crime,no
Peter Chelsom,Peter Chelsom,Peter Chelsom,Brian Flanagan,Constance Cowley,Marie Mullen,8,N,93,76, ,Comedy,Drama,Music,no
Don Ohlmeyer,Lionel Chetwynd, ,Richard Assad,Lance August,Eric Avery Weiss,0,N,N/A,N/A, ,Drama,War, ,no
Bruce McDonald,Allan Magee,Bruce McDonald,Valerie Buhagiar,Don McKellar,Earl Pastko,7,N,100,85, ,Comedy,Music, ,no
